    0.0500  -15.9312    6.4496
    0.0550  -14.8849    6.0774
    0.0600  -13.9061    5.7264
    0.0650  -12.9905    5.3957
    0.0700  -12.1341    5.0839
    0.0750  -11.3128    4.7931
    0.0800  -10.5999    4.5098
    0.0850   -9.9313    4.2432
    0.0900   -9.3044    3.9922
    0.0950   -8.7166    3.7559
    0.1000   -8.1654    3.5335
    0.1050   -7.6342    3.3265
    0.1100   -7.1368    3.1316
    0.1150   -6.6712    2.9479
    0.1200   -6.2352    2.7749
    0.1250   -5.8270    2.6118
    0.1300   -5.4448    2.4582
    0.1350   -5.0870    2.3134
    0.1400   -4.7520    2.1769
    0.1450   -4.4383    2.0483
    0.1500   -4.1446    1.9270
    0.1550   -3.8874    1.8083
    0.1600   -3.6435    1.6984
    0.1650   -3.4144    1.5950
    0.1700   -3.1990    1.4976
    0.1750   -2.9966    1.4059
    0.1800   -2.8063    1.3195
    0.1850   -2.6274    1.2380
    0.1900   -2.4592    1.1613
    0.1950   -2.3010    1.0890
    0.2000   -2.1522    1.0209
    0.2050   -2.0080    0.9572
    0.2100   -1.8726    0.8971
    0.2150   -1.7455    0.8404
    0.2200   -1.6261    0.7869
    0.2250   -1.5139    0.7364
    0.2300   -1.4086    0.6887
    0.2350   -1.3096    0.6436
    0.2400   -1.2166    0.6011
    0.2450   -1.1291    0.5608
    0.2500   -1.0470    0.5228
    0.2550   -0.9804    0.4849
    0.2600   -0.9105    0.4506
    0.2650   -0.8446    0.4183
    0.2700   -0.7823    0.3877
    0.2750   -0.7235    0.3588
    0.2800   -0.6680    0.3315
    0.2850   -0.6156    0.3057
    0.2900   -0.5662    0.2813
    0.2950   -0.5194    0.2583
    0.3000   -0.4753    0.2365
    0.3050   -0.4329    0.2160
    0.3100   -0.3930    0.1966
    0.3150   -0.3554    0.1782
    0.3200   -0.3199    0.1608
    0.3250   -0.2865    0.1444
    0.3300   -0.2551    0.1289
    0.3350   -0.2254    0.1143
    0.3400   -0.1975    0.1004
    0.3450   -0.1713    0.0873
    0.3500   -0.1466    0.0749
    0.3550   -0.1243    0.0631
    0.3600   -0.1026    0.0520
    0.3650   -0.0821    0.0416
    0.3700   -0.0628    0.0318
    0.3750   -0.0446    0.0226
    0.3800   -0.0274    0.0139
    0.3850   -0.0112    0.0057
    0.3900    0.0040   -0.0020
    0.3950    0.0183   -0.0093
    0.4000    0.0318   -0.0161
    0.4050    0.0444   -0.0224
    0.4100    0.0561   -0.0284
    0.4150    0.0671   -0.0340
    0.4200    0.0774   -0.0392
    0.4250    0.0869   -0.0441
    0.4300    0.0958   -0.0486
    0.4350    0.1040   -0.0528
    0.4400    0.1117   -0.0568
    0.4450    0.1187   -0.0604
    0.4500    0.1252   -0.0637
    0.4550    0.1319   -0.0667
    0.4600    0.1377   -0.0696
    0.4650    0.1430   -0.0722
    0.4700    0.1479   -0.0745
    0.4750    0.1524   -0.0767
    0.4800    0.1564   -0.0786
    0.4850    0.1601   -0.0804
    0.4900    0.1634   -0.0819
    0.4950    0.1664   -0.0833
    0.5000    0.1690   -0.0845
    0.5050    0.1711   -0.0855
